Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/05/2025,4.6,21.3,0,,,NE,30,16:03,14.1,70,,SE,9,1033.2,20.9,34,,ESE,9,1029.9
2/05/2025,5.1,24.3,0,,,N,31,13:45,16.8,44,,NE,17,1032.3,21.7,35,,WSW,13,1028.3
3/05/2025,11.6,26.4,0,,,N,43,11:12,19,30,,NNE,24,1030.3,26.2,19,,N,20,1024.9
4/05/2025,13.3,28.3,0,,,N,57,11:20,21.9,38,,NNE,24,1026,26.8,25,,NNW,26,1021.4
5/05/2025,18.2,28.4,0,,,NW,50,12:12,22.7,35,,N,26,1021.5,27.5,25,,NW,28,1018.2
6/05/2025,10.7,23.7,0,,,NW,39,12:08,17.8,71,,N,17,1019.7,22.7,56,,WNW,26,1017.7
7/05/2025,14.2,20.1,0.6,,,SSW,50,11:48,17.5,80,8,SW,17,1021,19.8,44,,SSW,24,1022.6
8/05/2025,5.3,19.6,4.2,,,E,24,10:09,13.5,71,3,SW,4,1032.6,18.4,48,,SSW,15,1030.2
9/05/2025,7.3,21.7,0,,,E,24,3:55,14.6,60,,W,2,1033,20.4,38,,W,13,1029.3
10/05/2025,4,24.5,0,,,N,24,10:57,14.9,66,, ,Calm,1029.5,22.9,36,,WSW,17,1024.7
11/05/2025,4.5,25.1,0,,,W,24,14:44,16,65,, ,Calm,1026.2,24.1,30,,WSW,17,1023.4
12/05/2025,5.8,25.3,0,,,SW,24,14:32,15.8,50,, ,Calm,1026.8,24.8,27,,WSW,15,1023.5
13/05/2025,4.7,25.8,0,,,WNW,28,12:54,14.8,57,, ,Calm,1024.9,25.5,25,,WNW,13,1021.4
14/05/2025,5.3,21.1,0,,,WSW,31,13:31,14.7,66,, ,Calm,1024.4,19.8,52,7,SW,15,1022.9
15/05/2025,8.9,18.5,0,,,SW,24,15:30,15.9,53,8,S,9,1025.8,17.4,51,8,SW,13,1023.1
16/05/2025,12.9,17.9,0,,,NNW,26,10:38,15.1,71,8,NNE,15,1022.3,14.8,86,8,SSW,13,1020
17/05/2025,6.2,17.6,0.4,,,S,46,15:26,12.8,94,2,N,2,1023.5,15,69,8,SE,17,1023.5
18/05/2025,5.8,16.5,0.6,,,E,31,11:56,12,59,,E,6,1033,15.6,39,2,S,20,1031.8
19/05/2025,0.1,16.6,0,,,ENE,30,11:23,11.5,58,,ENE,13,1033.7,16.5,35,,E,11,1030.6
20/05/2025,-0.7,19.1,0,,,WNW,30,13:26,10.8,57,,W,11,1030.4,18.6,32,,W,19,1027.7
21/05/2025,1.6,18.4,0,,,NNW,20,11:25,11.5,62,2, ,Calm,1028.6,17.8,57,8,WSW,9,1025.1
